CustomerID,Lookalikes
C0001,"[{'CustomerID': 'C0137', 'Score': 0.9963323425457112}, {'CustomerID': 'C0152', 'Score': 0.9869046482018122}, {'CustomerID': 'C0056', 'Score': 0.9304265739853477}]"
C0002,"[{'CustomerID': 'C0029', 'Score': 0.9997577919968235}, {'CustomerID': 'C0199', 'Score': 0.9993469209744867}, {'CustomerID': 'C0010', 'Score': 0.9991818003638689}]"
C0003,"[{'CustomerID': 'C0178', 'Score': 0.9999491872753427}, {'CustomerID': 'C0112', 'Score': 0.999570425461454}, {'CustomerID': 'C0131', 'Score': 0.9995698787270856}]"
C0004,"[{'CustomerID': 'C0021', 'Score': 0.9999029227541466}, {'CustomerID': 'C0075', 'Score': 0.999774867626502}, {'CustomerID': 'C0108', 'Score': 0.9993154296151782}]"
C0005,"[{'CustomerID': 'C0073', 'Score': 0.9999664651439709}, {'CustomerID': 'C0144', 'Score': 0.9999535673904799}, {'CustomerID': 'C0095', 'Score': 0.999946632236093}]"
C0006,"[{'CustomerID': 'C0079', 'Score': 0.9998969172180884}, {'CustomerID': 'C0117', 'Score': 0.9915523522623343}, {'CustomerID': 'C0196', 'Score': 0.9545599462656269}]"
C0007,"[{'CustomerID': 'C0085', 'Score': 0.9999761995718929}, {'CustomerID': 'C0193', 'Score': 0.9993220044622224}, {'CustomerID': 'C0120', 'Score': 0.9991928526246553}]"
C0008,"[{'CustomerID': 'C0194', 'Score': 0.9993669805987332}, {'CustomerID': 'C0179', 'Score': 0.9986864990487858}, {'CustomerID': 'C0139', 'Score': 0.9976965787167642}]"
C0009,"[{'CustomerID': 'C0077', 'Score': 0.9999358433247266}, {'CustomerID': 'C0142', 'Score': 0.9996422140211864}, {'CustomerID': 'C0032', 'Score': 0.9991462446506736}]"
C0010,"[{'CustomerID': 'C0029', 'Score': 0.9998298903880369}, {'CustomerID': 'C0025', 'Score': 0.9994906669506808}, {'CustomerID': 'C0002', 'Score': 0.9991818003638689}]"
C0011,"[{'CustomerID': 'C0183', 'Score': 0.994722607171387}, {'CustomerID': 'C0048', 'Score': 0.9946779835821227}, {'CustomerID': 'C0016', 'Score': 0.9932131637915763}]"
C0012,"[{'CustomerID': 'C0102', 'Score': 0.9962450399402291}, {'CustomerID': 'C0145', 'Score': 0.991152349898723}, {'CustomerID': 'C0188', 'Score': 0.9898164696443068}]"
C0013,"[{'CustomerID': 'C0045', 'Score': 0.9999912959125381}, {'CustomerID': 'C0153', 'Score': 0.9997485587226153}, {'CustomerID': 'C0059', 'Score': 0.9997185548987123}]"
C0014,"[{'CustomerID': 'C0015', 'Score': 0.9999527058752842}, {'CustomerID': 'C0058', 'Score': 0.9999345950947911}, {'CustomerID': 'C0151', 'Score': 0.9999059818196547}]"
C0015,"[{'CustomerID': 'C0058', 'Score': 0.9999848310059165}, {'CustomerID': 'C0131', 'Score': 0.9999538103963201}, {'CustomerID': 'C0014', 'Score': 0.9999527058752842}]"
C0016,"[{'CustomerID': 'C0048', 'Score': 0.9999108050862925}, {'CustomerID': 'C0183', 'Score': 0.9999049142743388}, {'CustomerID': 'C0064', 'Score': 0.9979477170891812}]"
C0017,"[{'CustomerID': 'C0162', 'Score': 0.9999312713015618}, {'CustomerID': 'C0124', 'Score': 0.9996520686321231}, {'CustomerID': 'C0090', 'Score': 0.9973909970658704}]"
C0018,"[{'CustomerID': 'C0200', 'Score': 0.999999182192138}, {'CustomerID': 'C0170', 'Score': 0.9999735409457393}, {'CustomerID': 'C0182', 'Score': 0.999956358653078}]"
C0019,"[{'CustomerID': 'C0172', 'Score': 0.9999805686568761}, {'CustomerID': 'C0116', 'Score': 0.9605762021423147}, {'CustomerID': 'C0034', 'Score': 0.8817294069115329}]"
C0020,"[{'CustomerID': 'C0110', 'Score': 0.999994691081227}, {'CustomerID': 'C0078', 'Score': 0.9999277519578567}, {'CustomerID': 'C0080', 'Score': 0.9999018854141536}]"
